TRACTCE,make_sqm,make_dec,serv_sqm,serv_dec,prof_sqm,prof_dec,supp_sqm,supp_dec,make_c,serv_c,prof_c,supp_c,make_15,serv_15,prof_15,supp_15,make_02,serv_02,prof_02,supp_02
151700,0.000008364233715,3,0.000084592818258,6,0.000022431354055,6,0.000299021355324,9,-0.895778666555603,-0.363414585825946,0.094644987793012,0.895507990628553,0.09411538670276,0.772376875094526,0.227446050395253,2.547200058292269,0.989894053258363,1.135791460920472,0.132801062602241,1.651692067663716
153705,0.000005024440951,7,0.000004165562156,4,0.000001245374253,4,0.000004530585644,3,0.51636848435124,-0.369043999179607,-0.524341298076666,0.450423829655453,1.565480013851957,1.053160827349884,0.349661729591418,1.068662338013225,1.049111529500717,1.422204826529491,0.874003027668084,0.618238508357772
152600,0.000002600513181,7,0.000003055602988,6,0.000001373396024,6,0.000002169803185,4,0.210828459584648,0.580833501926624,-0.719622567805197,-0.080157166597671,1.318159608172286,1.256802868498592,0.62732582115514,0.832636915085171,1.107331148587638,0.675969366571968,1.346948388960337,0.912794081682842
151503,0.000004229604229,4,0.000001023291346,0,0.000001159730192,1,0.00000313809346,0,0.979725523483199,-0.608760633901816,0.39127508731806,-0.530656625662657,2.065038257588475,0.405404876654751,0.510239142109447,1.15990019909885,1.085312734105276,1.014165510556567,0.118964054791387,1.690556824761507
153703,9.57330407e-7,5,0.000001608846933,3,1.32962556e-7,0,0.000003629877792,4,-0.077958408205509,0.135020180759578,-0.23207862432446,-0.001604414688369,0.705326160087145,0.961842942651468,0.088276668185025,2.024633979245435,0.783284568292654,0.82682276189189,0.320355292509485,2.026238393933804
200705,0.000018088336699,2,0.000023593482651,1,0.000010223842482,1,0.000122686109788,2,0.24384939856201,-1.978886117277016,-0.341594692291613,1.864913858697704,0.483102527567196,0.511321466051037,0.246061271499521,2.480632623219632,0.239253129005186,2.490207583328053,0.587655963791134,0.615718764521928
200804,0.00004153247674,4,0.000336331625366,6,0.000002443086867,0,0.000140884676001,2,-0.527492476138375,0.333321745527526,-0.05238320922585,0.172689452145811,0.37158198485841,2.441719788351845,0.019696731588784,0.95423854694885,0.899074460996785,2.108398042824319,0.072079940814634,0.781549094803039
200803,0.00001659870785,5,0.000018356218093,2,0.000002733904822,1,0.000015817592187,0,1.240654657335419,-1.097156878490958,-0.264655995243675,0.194819594409118,1.446547872928117,1.298084714544167,0.214699166709857,1.043578884305059,0.205893215592698,2.395241593035125,0.479355161953532,0.848759289895941
200704,0.000057427346225,5,0.000143245740022,4,0.000046458077845,4,0.000138083731373,3,0.46491377952143,0.667679877767258,0.248636869335118,-1.49650609056652,0.69515255550744,1.407033340751498,0.506770179570718,1.265407106729355,0.23023877598601,0.73935346298424,0.2581333102356,2.761913197295875
329000,0.000026233649803,5,0.000191025309132,7,0.00001367105694,2,0.000427128157364,8,-0.019338521963674,0.915882865596925,-0.154023158566411,-1.097213520975038,0.185891219869496,1.098379373845064,0.087295265585327,2.291314701342161,0.20522974183317,0.182496508248139,0.241318424151738,3.388528222317199
200602,0.000043442346521,6,0.000027863022251,2,0.00003025984137,5,0.000541681120756,9,-0.028318329473421,-2.581457742900531,0.02008872486167,2.364949259639122,0.314920118312469,0.163899130384874,0.1976706613723,2.97274192904053,0.34323844778589,2.745356873285405,0.17758193651063,0.607792669401408
200601,0.00006264900298,6,0.000457141943617,8,0.000011746688059,2,0.000214866502407,6,-0.488935059376504,1.413779972353684,-1.090770152102323,-0.070385306331549,0.391385357757646,2.317409471972689,0.066129354580048,1.016214771726519,0.88032041713415,0.903629499619005,1.156899506682371,1.086600078058068
201006,0.000012589406904,2,0.000157997056644,5,0.000018254640011,2,0.000144778179395,3,-1.878494344234577,1.340654523043389,-0.184204802878172,0.546579613246303,0.175961872222998,1.791940549138108,0.229919080684168,1.53194365918716,2.054456216457575,0.451286026094719,0.41412388356234,0.985364045940857
200706,0.000073260517172,6,0.000016699088473,1,0.000010234925193,1,0.000074876557992,2,1.526601735767166,-0.667929896285512,-0.253704463898692,-0.52351154430276,1.951281807666728,0.360914290191101,0.245653596020114,1.50980989126847,0.424680071899562,1.028844186476613,0.499358059918806,2.03332143557123
200504,0.000165632628096,7,0.000269220460651,6,0.000135959030229,7,0.00081035898176,9,0.520290175221858,-1.413899778162881,-0.16581058509395,0.879395006415991,0.559194457605549,0.737541267789086,0.413631363364459,2.071194071556608,0.038904282383691,2.151441045951967,0.579441948458409,1.191799065140617
017102,0.000169577001829,4,0.00195352706107,7,0.000586736426328,6,0.000756313428157,3,0.127948643422057,-0.783920750996375,0.079107048227566,0.4947147625099,0.228130607334122,2.132540721033211,0.71129227707441,0.77027321143253,0.100181963912065,2.916461472029586,0.632185228846844,0.27555844892263
012302,0.00014033620526,1,0.027009321966224,9,0.003357273833531,7,0.002709568270792,4,-0.257440082678865,0.710498563689807,-0.135800889513878,-0.442272024779279,0.019700638602802,3.076702853312235,0.424703440085746,0.287963240566995,0.277140721281667,2.366204289622428,0.560504329599624,0.730235265346274
016801,0.000154524574544,3,0.001403966134424,5,0.000498893626384,6,0.031024119580504,9,0.015809068032769,-2.506590733298478,-0.877579963169436,2.952102950659177,0.021780947082188,0.160582099814667,0.063368816606648,3.310587324602865,0.005971879049419,2.667172833113145,0.940948779776084,0.358484373943688
011902,0.000322441821413,3,0.009802231370953,8,0.003923042160524,8,0.000838348735674,0,-0.272462101534804,0.252411284465133,0.743215304971654,-0.739939402701207,0.101003385138833,2.491556902588622,1.107378218806232,0.198808823954786,0.373465486673637,2.239145618123489,0.364162913834578,0.938748226655993
012201,0.000162982306385,1,0.002107904495915,4,0.000336830099863,2,0.002303483263578,3,0.076590944013252,-0.6021797703955,-0.592091704846519,0.855962616296903,0.154745230550093,1.624011275802808,0.288188167198724,1.655725178398127,0.078154286536841,2.226191046198308,0.880279872045243,0.799762562101224
012202,0.000032324572192,0,0.004697837825207,6,0.001971798903699,7,0.001508480035617,2,-0.024271999986445,0.162843198810659,0.115867978559202,-0.412490566478681,0.018358226826415,2.164996821610325,1.00913438481118,0.648580506171901,0.04263022681286,2.002153622799666,0.893266406251978,1.061071072650582
012402,0.000231913989789,5,0.003478709846836,8,0.001710016406638,8,0.011922614390723,9,-0.039814058273788,-2.141388894536988,-0.178850568015528,2.101141905007987,0.06235349411221,0.758950324911907,0.414307278271566,2.42678736117592,0.102167552385998,2.900339219448895,0.593157846287094,0.325645456167933
012601,0.000011734800521,0,0.002575788714255,6,0.000498729022122,5,0.000264033011712,0,-0.217083215987452,0.953848870714373,-0.181135547681999,-0.707721109094368,0.016332713183571,2.909069903000701,0.625512083146432,0.278206474313666,0.233415929171023,1.955221032286328,0.806647630828431,0.985927583408034
012602,0.000133259225547,5,0.000758308450137,6,0.000523518386078,8,0.000417228289511,4,0.160682320288632,0.254822858277691,-0.152241998987298,-0.423508815999847,0.339126517375233,1.565927523563402,1.200562687316345,0.803830704513828,0.178444197086601,1.311104665285711,1.352804686303643,1.227339520513675
